青森高校,普通,70
八戸高校,普通,69
弘前高校,普通,68
八戸北高校,普通,63
八戸工大第二高,Sカ/私,63
八戸工業高等専門,機工,63
八戸工業高等専門,電情,63
八戸工業高等専門,物工,63
八戸工業高等専門,建環,63
青森東高校,普通,62
五所川原高校,理数,62
五所川原高校,普通,62
青森南高校,普通,61
八戸東高校,普通,61
弘前南高校,普通,60
弘前中央高校,普通,60
三本木高校,普通,59
八戸東高校,表現,59
青森南高校,外国語,58
八戸西高校,普通,58
青森北高校,普通,55
青森山田高校,特進/私,55
八戸聖ウルスラ,SA/私,55
木造高校,総合,54
八戸工業高校,電子,54
八戸聖ウルスラ学,英/私,54
弘前工業高校,情報技術,54
青森工業高校,情報技術,53
千葉学園高校,看護/私,53
八戸工業高校,情報技術,53
八戸工業高校,機械,53
八戸工業高校,電子機械,53
弘前実業高校,情報処理,53
弘前実業高校,商業,53
三沢高校,普通,53
青森西高校,普通,52
田名部高校,普通,52
八戸工業高校,土木,52
八戸工業高校,建築,52
弘前実業高校,スポー科,52
弘前工業高校,建築,52
青森北高校,スポーツ科,51
青森工業高校,電子機械,51
八戸西高校,スポーツ科,51
八戸工業高校,電気,51
弘前工業高校,機械,51
弘前工業高校,電気,51
弘前工業高校,電子,51
青森工業高校,機械,50
青森工業高校,電気,50
黒石高校,看護,50
八戸工業高校,材料技術,50
八戸商業高校,商業,50
八戸商業高校,国際経済,50
八戸商業高校,情報処理,50
弘前実業高校,服飾デザ,50
田名部高校,英語,49
三沢高校,英語,49
三沢商業高校,商業,49
三沢商業高校,情報処理,49
青森明の星高校,英語/私,48
青森工業高校,都市環境,48
東奥義塾高校,普通/私,48
弘前工業高校,土木,48
弘前工業高校,インテリ,48
青森工業高校,電子,47
青森中央高校,総合,47
黒石高校,普通,47
五所川原工業高校,機械,47
五所川原工業高校,電子,47
五所川原工業高校,電機,47
五所川原工業高校,電気,47
五所川原工業高校,情技,47
十和田西高校,普通,47
青森工業高校,建築,46
青森商業高校,商業,46
青森商業高校,情報処理,46
三戸高校,普通,46
弘前学院聖愛高校,普/私,46
弘前実業高校,家庭科学,46
岩木高校,普通,45
黒石商業高校,商業,45
黒石商業高校,情報処理,45
八戸工業大第二高,普/私,45
弘前実業高校,農業経営,44
青森東高校平内校舎,普通,43
青森明の星高校,普通/私,43
大湊高校,総合,43
黒石商業高校,情報デザ,43
松風塾高校,普通/私,43
七戸高校,総合,43
浪岡高校,普通,43
青森北高校今別校舎,普,42
五戸高校,普通,42
鯵ヶ沢高校,普通,42
十和田西高校,観光,42
八戸水産高校,海洋生産,42
八戸水産高校,水産食品,42
八戸水産高校,水産工学,42
八戸水産高校,情報通信,42
中里高校,普通,42
百石高校,普通,42
六戸高校,普通,42
青森山田高校,吹奏楽/私,41
青森山田高校,美術/私,41
青森山田高校,演劇/私,41
三本木農業高校,植物科,41
三本木農業高校,動物科,41
三本木農業高校,農業機,41
三本木農業高校,環境土,41
三本木農業高校,農業経,41
三本木農業高校,生活科,41
十和田工業高,機械エネ,41
十和田工業高,電子機械,41
十和田工業高校,電気,41
十和田工業高校,電子,41
十和田工業高校,建築,41
八戸北高校南郷校舎,普,41
百石高校,食物調理,41
板柳高校,普通,40
五所川原第一高校,普/私,40
鶴田高校,普通,40
八戸工業大第一高,普/私,40
八戸工業大第一高,工/私,40
八戸聖ウルスラ学,音/私,40
八戸聖ウルスラ,LA/私,40
むつ工業高校,機械,40
むつ工業高校,電子機械,40
むつ工業高校,電気,40
むつ工業高校,電子,40
むつ工業高校,設備,40
青森山田高校,文化教養,私,39
青森明の星高校,音楽,私,39
五所川原商業高校,商業,私,39
千葉学園高校,調理,私,39
八戸学院光星高校,普通,私,39
木造高校深浦校舎,総合,39
名久井農業高校,生物生産,39
名久井農業高校,園芸科学,39
金木高校,普通,38
五所川原農林高校,生物生,38
五所川原農林高校,森林科,38
五所川原農林高校,環境土,38
五所川原農林高校,食品科,38
五所川原農林高校,生活科,38
田子高校,普通,38
六ヶ所高校,普通,38
千葉学園高校,総ビジネス,私,38
千葉学園高校,生活文化,私,38
八戸学院光星高校,保育福,私,38
向陵高校,普通,私,37
東奥学園高校,普通,私,37
東奥学園高校,福祉,私,37
東奥学園高校,調理,私,37
東奥学園高校,情報科学,私,37
八戸学院光星高校,ビジ,私,37
弘前東高校,普通,私,37
弘前東高校,電子,私,37
弘前東高校,情報,私,37
弘前東高校,自動車,私,37
大湊高校川内校舎,普通,37
柏木農業高校,生物生産,37
柏木農業高校,環境工学,37
柏木農業高校,食品科学,37
柏木農業高校,生活科学,37
野辺地高校,普通,37
弘前実業高藤崎校,りんご,37
大間高校,普通,36 
柴田女子高校,普通,私,36
柴田女子高校,情報,私,36
柴田女子高校,家政,私,36
八戸学院光星高校,工技術,私,36
八戸学院野辺地西高,総合,私,36
青森山田高校,情報処理,私,35
青森山田高校,自動車,私,35
青森山田高校,調理,私,35 
