仙台第二高校,普通,71
仙台第一高校,普通,68
宮城第一高校,理数,68
宮城第一高校,普通,68
仙台第三高校,理数,67
仙台二華高校,普通,67
仙台向山高校,理数,66
尚絅学院高校,特進,私,65
聖ウルスラ学英智,１,私,65
仙台向山高校,普通,65
仙台白百合学園,LS,私,64
仙台第三高校,普通,64
仙台高等専門名取,機,64
仙台高等専門名取,電,64
仙台高等専門名取,マ,64
仙台高等専門名取,建,64
泉館山高校,普通,63
東北学院高校,普通,私,62
宮城野高校,総合,62
泉高校,普通,61
仙台南高校,普通,61
仙台高等専門広瀬,知,61
仙台高等専門広瀬,シ,61
仙台高等専門広瀬,ネ,61
宮城学院高校,アド,私,61
宮城野高校,普通,61
石巻高校,普通,59
聖ウルスラ学英智,２,私,58
仙台育英学園高校,特,私,58
泉高校,英語,57
仙台東高校,普通,57
多賀城高校,普通,57
宮城野高校,美術,57
仙台白百合学園,LI,私,56
仙台市立仙台高校,普通,56
仙台三桜高校,普通,56
東北高校,創進,私,56
富谷高校,理数,56
宮城学院高校,クリエ,私,56
聖和学園三神峯,理数,私,55
古川高校,普通,56
仙台白百合学園,LE,私,55
仙台西高校,普通,55
東北学院榴ケ岡高,普,私,55
常盤木学園高校,S両,私,55
古川学園高校,進学,私,55
石巻好文館高校,普通,54
仙台東高校,英語,54
仙台城南高校,特進,私,54
富谷高校,国際,54
富谷高校,人文,54
気仙沼高校,普通,53
聖ドミニコ学院,特α,私,53
聖和学園高薬師堂,文,私,53
常盤木学園高校,国際,私,53
宮城県工業高校,情報技,53
尚絅学院高校,総文理,私,52
白石高校,普通,52
佐沼高校,普通,51
仙台商業高校,商業,51
古川黎明高校,普通,51
名取北高校,普通,50
宮城県工業高,インテリ,50
宮城県工業高校,化学工,50
宮城県工業高校,電子機,50
宮城県工業高校,機械,50
利府高校,普通,50
泉松陵高校,普通,49
石巻西高校,普通,49
仙台育英学園高校,外,私,49
仙台工業高校,建築,49
仙台工業高校,機械,49
仙台工業高校,電気,49
仙台工業高校,土木,49
角田高校,普通,48
宮城県工業高校,電気,48
宮城広瀬高校,普通,48
利府高校,スポーツ科学,48
石巻工業高校,機械制御,47
石巻工業高校,電気情報,47
石巻工業高校,土木シス,47
石巻工業高校,化学技術,47
石巻工業高校,建築,47
石巻市立桜坂高,学励探,47
尚絅学院高校,総文系,私,47
白石工業高校,機械,47
白石工業高校,電気,47
白石工業高校,建築,47
白石工業高校,工業化学,47
白石工業高校,設備工業,47
塩釜高校,普通,47
仙台城南高校,科学技,私,47
仙台城南高校,探究,私,47
築館高校,普通,47
常盤木学園高校,リバ,私,47
古川工業高校,土木情報,47
古川工業高校,建築,47
古川工業高校,電気電子,47
古川工業高校,機械,47
古川工業高校,化学技術,47
大河原商業高校,流通,46
大河原商業高校,情報,46
大河原商業高校,OA,46
気仙沼西高校,普通,46
白石高校,看護,46
登米高校,普通,46
聖ウルスラ学英智,尚,私,45
東北高校,文理,私,45
常盤木学園高校,音楽,私,45
名取高校,普通,45
迫桜高校,総合,45
岩ケ崎高校,普通文系,44
岩ケ崎高校,普通理系,44
柴田高校,普通,44
塩釜高校,ビジネス,44
石巻商業高校,総合ビジ,43
小牛田農林高校,総合,43
聖ドミニコ学院,特β,私,43
仙台育英学園高校,英,私,43
亘理高校,普通,43
黒川高校,普通,42
柴田高校,体育,42
聖和学園高薬師堂,進,私,42
聖和学園高薬師堂,実,私,42
聖和学園高三神峯,進,私,42
東陵高校,特別進学,私,42
中新田高校,ビジネス,42
中新田高校,アカデミッ,42
登米総合産業高校,商業,42
亘理高校,商業,42
亘理高校,家政,42
涌谷高校,普通,42
岩出山高校,普通,41
東北高校,スポーツ,私,41
名取高校,家政,41
古川学園高校,総合,私,41
松島高校,普通,41
亘理高校,食品化学,41
石巻市立桜坂高,キャ探,40
志津川高校,普通,40
聖ドミニコ学院,キャ,私,40
聖ドミニコ学院,幼保,私,40
東松島高校,普通,40
登米総合産業高校,工業,40
登米総合産業高校,福祉,40
宮城県農業高校,農業,40
宮城県農業高校,園芸,40
宮城県農業高校,生活,40
宮城県農業高校,食品化,40
宮城県農業高校,農業機,40
村田高校,総合,40
亘理高校,園芸,40 
東北高校,文教,私,39
東北高校,総合,私,39
東北生活文化大学高校,普,私,39
東北生活文化大学高校,商,私,39
伊具高校,総合,39
小牛田農林高校,農業技術,39
鹿島台商業高校,商業,39
黒川高校,機械,39
黒川高校,電子工学,39
黒川高校,環境技術,39
登米総合産業高校,農業,39
松山高校,家政,39
宮城県水産高校,海洋総合,39
宮城県水産高校,情報科学,39
岩ケ崎高校鴬沢校舎,創工,38
石巻北高校,総合,38
一迫商業高校,流通経済,38
一迫商業高校,会計,38
一迫商業高校,情報処理,38
加美農業高校,農業,38
加美農業高校,農業機械,38
加美農業高校,生活技術,38
気仙沼向洋高校,情報海洋,38
気仙沼向洋高校,産業経済,38
気仙沼向洋高校,機械技術,38
蔵王高校,普通,38
柴田農林高校,食農科学,38
柴田農林高校,動物科学,38
柴田農林高校,森林環境,38
柴田農林高校,園芸工学,38
志津川高校,情報ビジネス,38
南郷高校,普通,38
南郷高校,産業技術,38
本吉響高校,総合,38
大崎中央高校,普通,私,38
仙台育英学園高校,フレッ,私,38
東陵高校,総合進学,私,38
古川学園高校,情報ビジネ,私,38
明成高校,調理,私,38
明成高校,介護福祉,私,38
明成高校,情報表現,私,38
明成高校,健康スポーツ,私,38
明成高校,デザインアート,私,38
明成高校,総合,私,38 
柴田農林高校川崎分校,普,37
松山高校,普通,37 
