前橋高校,普通,71
高崎高校,普通,69
樹徳高校,スーパサイ,私,68
太田高校,普通,67
前橋女子高校,普通,67
群馬工業高等専門,機械,66
群馬工業高等専門,電メ,66
群馬工業高等専門,電情,66
群馬工業高等専門,質工,66
群馬工業高等専門,環都,66
高崎女子高校,普通,66
東京農業大第二高,普,私,65
桐生高校,理数,64
前橋育英高校,Ⅰ特選,私,64
太田女子高校,普通,63
高崎健康福大高崎,特,私,63
高崎商科大附高,特選,私,63
桐生高校,普通,61
共愛学園高校,普特進,私,61
共愛学園高校,英特進,私,61
渋川女子高校,普通,61
太田東高校,普通,60
桐生女子高校,英語,59
樹徳高校,特別大学進,私,59
渋川高校,普通,59
高崎経済大附属高校,普,59
前橋南高校,普通,59
高崎北高校,普通,58
前橋東高校,総合,58
高崎健康福大高崎,大,私,57
沼田高校,数理科学,57
桐生第一高校,特別進,私,56
桐生女子高校,普通,56
富岡高校,普通,56
伊勢崎高校,文理総合,55
伊勢崎高校,グローバル,55
高崎商科大附高校,特,私,55
館林高校,普通,55
常磐高校,特進,私,55
沼田高校,普通,54
前橋育英高校,Ⅱ特進,私,54
関東学園大附高校,特,私,53
共愛学園高校,英進学,私,53
高崎経済大附高校,美術,53
高崎経済大附高校,音楽,53
高崎工業高校,情報技術,53
前橋市立前橋高校,普通,53
前橋商業高校,システ情,53
桐生南高校,普通,52
樹徳高校,大学進学,私,52
高崎東高校,普通,52
館林女子高校,普通,52
館林女子高校,英語,52
常磐高校,進学,私,52
新島学園高校,普通,私,52
沼田女子高校,英語,52
伊勢崎清明高校,普通,51
共愛学園高校,普進学,私,51
高崎工業高校,機械,51
高崎工業高校,建築,51
高崎商業高校,流通ビジ,51
高崎商業高校,国際ビジ,51
高崎商業高校,情報ビジ,51
沼田女子高校,普通,51
前橋商業高校,ビジ総合,51
明和県央高校,特別進,私,51
吾妻高校,普通,50
太田市立太田高校,普通,50
桐生市立商業高校,商業,50
高崎健康福大高崎,進,私,50
富岡東高校,普通,50
西邑楽高校,普通,50
前橋西高校,国際,50
前橋工業高校,電子機械,50
吾妻高校,福祉,49
桐生市立商業高校,情処,49
高崎商科大附高,際文,私,49
高崎工業高校,工業化学,49
中之条高校,普通,49
前橋育英高校,Ⅲ総進,私,49
高崎商科大附高校,進,私,48
前橋工業高校,電子,48
前橋工業高校,建築,48
前橋西高校,普通,48
伊勢崎商業高校,商業,47
伊勢崎商業高校,会計,47
伊勢崎商業高校,情報処,47
太田市立太田高校,商業,47
桐生工業高校,機械,47
桐生工業高校,電気,47
桐生工業高校,建設,47
桐生工業高校,染織デザ,47
高崎商科大附高,総ビ,私,47
高崎工業高校,電気,47
西邑楽高校,スポーツ,47
西邑楽高校,音楽,47
西邑楽高校,美術,47
吉井高校,総合,47
関東学園大附高校,進,私,46
高崎工業高校,土木,46
館林商工高校,情報,46
館林商工高校,総合,46
桐生西高校,普通,45
渋川青翠高絞,総合,45
渋川工業高校,自動車,45
渋川工業高校,機械,45
渋川工業高校,電気,45 
渋川工業高校,情報シス,45
館林商工高校,建築,45
館林商工高校,生産,45
中之条高校,環境工学,45
前橋工業高校,機械,45
前橋工業高校,電気,45
前橋工業高校,土木,45
明和県央高校,普通,私,45
伊勢崎工業高校,機械,44
伊勢崎工業高校,電子機,44
伊勢崎工業高校,工業化,44
伊勢崎工業高校,電気,44
樹徳高校,総合,44
前橋育英高校,Ⅳスポ,私,44
前橋育英高校,保育,44
大間々高校,普通,43
太田フレックス高校,普,43
太田工業高校,機械,43
太田工業高校,電子機械,43
太田工業高校,電気,43
太田工業高校,情報技術,43
常磐高校,総合・私,43
利根実業高校,生物,グリ,43
利根実業高校,環境,機械,43
利根商業高校,国際経済,43
利根商業高校,情報経済,43
利根商業高校,地域経済,43
中之条高校,生物生産,43
藤岡中央高校,数理科学,43
藤岡中央高校,文理総合,43
藤岡工業高校,機械,43
藤岡工業高校,電子機械,43
藤岡工業高校,電気,43
藤岡工業高校,建築,43
伊勢崎興陽高校,総合,42
大泉高校,普通,42
大泉高校,食品科学,42
勢多農林高校,植物科学,42
勢多農林高校,バイオ,42
勢多農林高校,動物科学,42
勢多農林高校,緑地土木,42
勢多農林高校,食品文化,42
勢多農林高校,グリーン,42
安中総合学園高校,総合,41
尾瀬高校,自然環境,41
桐生第一高校,進スポ,私,41
高崎健康福大高崎,ア,私,41
榛名高校,普通,41
藤岡北高校,生物生産,41
藤岡北高校,環境土木,41
藤岡北高校,ヒューマン,41
前橋清陵高校,普通,41
尾瀬高校,普通,40
常磐高校,体育,私,40
富岡実業高校,電子機械,40
富岡実業高校,食品科学,40
富岡実業高校,生物生産,40
富岡実業高校,園芸科学,40
桐生第一高校,調理,私,39
桐生第一高校,製菓衛生師,私,39
下仁田高校,普通,39
長野原高校,普通,39
松井田高校,普通,39
板倉高校,普通,38
大泉高校,生物生産,38
大泉高校,バイオ,38
玉村高校,普通,38
嬬恋高校,普通,38
嬬恋高校,流通ビジネス,38
嬬恋高校,スポーツ健康,38
新田暁高校,総合,38
桐生第一高校,総合,私,37
万場高校,普通,37
