早稲田大本庄高校,普,私,75
慶応義塾志木高校,普,私,74
大宮高校,理数,73
浦和高校,普通,72
浦和第一女子高校,普通,71
大宮高校,普通,71
春日部高校,普通,71
栄東高校,東・医,私,71
栄東高校,アルファ,私,71
西武学園文理高,エリ,私,71
立教新座高校,普通,私,71
春日部共栄高校,選抜,私,70
淑徳与野高校,選抜Ａ,私,70
川越高校,普通,69
川越東高校,理数,私,69
淑徳与野高校,選抜Ｂ,私,69
大宮開成高校,特国立,私,68
開智高校,Ｓ類,私,68
川越女子高校,普通,68
狭山ヶ丘高校,Ⅰ類,私,68
さいたま市立浦和高,普,68
西武学園文理高,理数,私,68
星野高校,Ⅲ類,私,68
越谷北高校,理数,67
栄東高校,アドバンス,私,67
淑徳与野高校,選抜Ｃ,私,67
不動岡高校,普通,67
開智未来高校,Ｔ未来,私,66
春日部共栄高校,特Ｅ,私,66
川越東高校,普通,私,66
越谷北高校,普通,66
城北埼玉高校,普通,私,66
淑徳与野高校,Ｓ類,私,66
西武学園文理高校,普,私,66
西武学園文理高校,英,私,66
所沢北高校,普通,66
獨協埼玉高校,普通,私,66
本庄東高校,特選,私,66
蕨高校,普通,66
大宮開成高,特国立Ⅰ,私,65
開智高校,Ｄ類,私,65
川口北高校,普通,65
熊谷高校,普通,65
東京農業大第三高,ス,私,65
大宮開成高,特国立Ⅱ,私,64
越ヶ谷高校,普通,64
埼玉栄高校,α,64
昌平高校,T特選,私,64
聖望学園高校,Ｓ特,私,64
武南高校,特進,私,64
星野高校,共学部Ｓ,私,64
松山高校,理数,64
蕨高校,外国語,64
浦和西高校,普通,63
開智未来高校,Ｓ未来,私,63
熊谷女子高校,普通,63
不動岡高校,外国語,63
星野高校,共学部α,私,63
星野高校,文理特進,私,63
山村学園高校,特ＳＡ,私 ,63
大宮北高校,理数,62
春日部共栄高校,特Ｓ,私,62
熊谷西高校,普通,62
栄北高校,特類選抜,私,62
狭山ヶ丘高校,Ⅱ類,私,62
城西大付川越高校,特,私,62
花咲徳栄高,旧帝大特,私,62
和光国際高校,外国語,62
浦和南高校,普通,61
浦和学院高校,リーダ,私,61
浦和学院高校,グロー,私,61
浦和学院高校,サイエ,私,61
大宮開成高校,特進S,私,61
大妻嵐山高,Sアドバ,私,61
春日部女子高校,外国語,61
熊谷西高校,理数,61
西武台高校,特進選抜,私,61
聖望学園高校,特選,私,61
花咲徳栄高,旧帝大理,私,61
武南高校,選抜,私,61
武蔵越生高校,特選抜,私,61
和光国際高校,普通,61
伊奈学園総合高校,普通,60
大宮北高校,普通,60
越谷南高校,普通,60
正智深谷高,特Ｓプラ,私,60
東京農業大第三高,特,私,60
星野高校,英語特進,私,60
本庄第一高校,Ｓ特進,私,60
本庄東高校,特進,私,60
山村学園高校,特文理,私,60
浦和実業学園高,特選,私,59
大宮光陵高校,普通,59
春日部東高校,普通,59
所沢高校,普通,59
星野高校,共学部β,私,59
星野高校,文理・英語,私,59
上尾高校,普通,58
浦和学院高校,プログ,私,58
大宮開成高校,特進α,私,58
川越南高校,普通,58
坂戸高校,普通,58
狭山ヶ丘高校,Ⅲ類,私,58
埼玉栄高校,Ｓ,私,58
埼玉平成高校,特選抜,私,58
城西大付川越高校,進,私,58
昌平高校,特選,私,58
西武台高校,特進,私,58
松山高校,普通,58
大宮光陵高校,外国語,57
大妻嵐山高校,選抜α,私,57
開智未来高校,開智,私,57
春日部女子高校,普通,57
春日部東高校,人文,57
川口市立川口高校,普通,57
越谷南高校,外国語,57
栄北高校,特類,私,57
正智深谷高,特Ｓアス,私,57
花咲徳栄高校,難大文,私,57
武蔵越生高校,特進,私,57
細田学園高校,特進,私,57
浦和北高校,普通,56
叡明高校,特別進学,私,56
大宮西高校,普通,56
大宮開成高校,特進β,私,56
東京農業大第三高,総,私,56
東京成徳大深谷高,特,私,56
山村学園高校,選抜,私,56
与野高校,普通,56
浦和実業学園高校,特,私,55
浦和ルーテル学院,普,私,55
坂戸高校,外国語,55
常盤高校,看護,55
本庄第一高校,特進,私,55
