お茶の水女子大附高,普,77
開成高校,普通,私,77
筑波大学附属高校,普通,77
筑波大附属駒場高校,普,77
慶応義塾女子高校,普,私,76
東京学芸大附属高校,普,75
早稲田実業高等部,普,私,75
早稲田大高等学院,普,私,75
国立高校,普通,74
豊島岡女子学園高,普,私,74
巣鴨高校,普通,私,73
明治大付明治高校,普,私,73
青山学院高等部,普通,72
国際基督教大高校,普,私,72
東京工大附科学技術,化,72
西高校,普通,72
日比谷高校,普通,72
立教池袋高校,普通,私,72
青山高校,普通,71
学習院高等科,普通,私,71
國學院大學久我山,普,私,71
立川高校,普通,71
中央大学高校,普通,私,71
戸山高校,普通,71
桐朋高校,普通,私,71
城北高校,普通,私,70
成蹊高校,普通,私,70
創価高校,普通,私,70
中央大学杉並高校,普,私,70
中央大学附属高校,普,私,70
八王子東高校,普通,70
広尾学園高,医・サイ,私,70
本郷高校,普通,私,70
錦城高校,特進,私,69
小山台高校,普通,69
淑徳高校,Ｓ特進,私,69
東京学芸大附高大泉,普,69
八王子高校,文理特進,私,69
明治大付中野高校,普,私,69
駒場高校,普通,68
新宿高校,普通,68
拓殖大学第一高校,特,私,68
帝京大学高校,普通,私,68
日本大学鶴ヶ丘高,特,私,68
法政大学高校,普通,私,68
明治大付中野八王,普,私,68
両国高校,普通,68
江戸川女子高校,普Ⅲ,私,67
江戸川女子高校,英語,私,67
国分寺高校,普通,67
竹早高校,普通,67
東京都立国際高校,国際,67
桐朋女子高校,普通,私,67
広尾学園高校,本科,私,67
明治学院高校,普通,私,67
桜美林高校,選抜,私,66
錦城高校,普通,私,66
十文字高校,Ｓ特選,私,66
白梅学園高校,特選Ｉ,私,66
東京芸大附属音楽高,音,66
東京都市大等々力,特,私,66
東洋高校,特進選抜,私,66
日本大学第二高校,普,私,66
文化学園大杉並高,特,私,66
富士高校,普通,66
武蔵高校,普通,66
國學院高校,普通,私,65
小松川高校,普通,65
成城高校,普通,私,65
東京農業大第一高,普,私,65
日本大学第三高校,普,私,65
武蔵野北高校,普通,65
町田高校,普通,65
明治学院東村山高,普,私,65
安田学園高校,S特,私,65
江戸川女子高校,普Ⅱ,私,64
大泉高校,普通,64
京華高校,S特進,私,64
佼成学園高校,普通,私,64
淑徳巣鴨高校,アルテ,私,64
十文字高校,選抜,私,64
順天高校,特進選抜,私,64
成城学園高校,普通,私,64
東京成徳大高校,特選,私,64
東京工業高等専門,機械,64
東京工業高等専門,電気,64
東京工業高等専門,電子,64
東京工業高等専門,情報,64
東京工業高等専門,物質,64
日本大鶴ヶ丘高校,普,私,64
八王子高校,文理進学,私,64
日野台高校,普通,64
朋優学院高校,国公立,私,64
三田高校,普通,64
駒込高校,スーパーア,私,63
小金井北高校,普通,63
淑徳高校,特進選抜,私,63
白梅学園高校,特選Ｓ,私,63
青稜高校,普通,私,63
玉川学園高等部,プロ,私,63
明法高校,特別選抜,私,63
淑徳巣鴨高校,選抜,私,62
杉並学院高校,特進,私,62
調布北高校,普通,62
東京純心女子高校,普,私,62
東京電機大学高校,普,私,62
豊多摩高校,普通,62
日本大豊山女子,理数,私,62
白鴎高校,普通,62
文化学園大杉並高,英,私,62
足立学園高校,文理,私,61
桜美林高校,普通,私,61
北園高校,普通,61
産業技術高専荒川Ｃ,工,61
産業技術高専品川Ｃ,工,61
城東高校,普通,61
実践学園高校,特進学,私,61
十文字高校,進学,私,61
順天高校,特進類型,私,61
専修大学附属高校,普,私,61
成立学園高,S特国公,私,61
多摩大附聖ヶ丘高,普,私,61
