宇都宮高校,普通,71
宇都宮女子高校,普通,69
宇都宮短大附高,特選,私,68
幸福の科学学園高,普,私,68
佐野日本大学高,特Ａ,私,68
作新学院高校,英進ト,私,68
宇都宮東高校,普通,66
國學院大栃木高,特S,私,66
栃木高校,普通,66
石橋高校,普通,65
佐野日本大学高校,特,私,65
栃木女子高校,普通,62
白鴎大足利高富田,特,私,62
宇都宮短大附高校,特,私,61
小山工業高等専門,機械,61
小山工業高等専門,建築,61
小山工業高等専門,電気,61
小山工業高等専門,電子,61
小山工業高等専門,物質,61
宇都宮中央女子高校,普,60
大田原高校,普通,60
作新学院高校,英進選,私,60
宇都宮文星女子高,特,私,59
鹿沼高校,普通,59
文星芸術大附属高,英,私,59
宇都宮北高校,普通,58
小山高校,普通,58
國學院大栃木高校,特,私,58
矢板東高校,普通,58
足利女子高校,普通,57
真岡高校,普通,57
足利高校,普通,56
宇都宮中央女子高,総家,56
小山高校,数理科学,56
大田原女子高校,普通,56
佐野日本大学高,ス進,私,56
黒磯高校,普通,55
佐野高校,普通,55
作新学院高校,英進英,私,55
足利工業大附高校,特,私,54
宇都宮文星女子,英留,私,54
宇都宮南高校,普通,54
宇都宮商業高校,情報処,54
栃木翔南高校,普通,54
白鴎大足利高富田,進,私,54
足利短期大附高校,特,私,53
宇都宮商業高校,商業,53
真岡女子高校,普通,53
矢板中央高校,特進,私,53
小山西高校,普通,52
宇都宮短大附高校,進,私,51
國學院大栃木高校,選,私,51
國學院大栃木高,グロ,私,51
佐野日本大学高校,進,私,51
那須拓陽高校,普通,51
宇都宮工業高校,土木,50
宇都宮工業高校,建築,50
宇都宮工業高校,インテ,50
宇都宮工業高校,電気,50
宇都宮工業高校,電子,50
宇都宮工業高校,機械,50
宇都宮工業高校,電子機,50
鹿沼東高校,普通,50
佐野東高校,普通,50
文星芸術大附高校,進,私,50
宇都宮海星女子学,普,私,49
作新学院高,総進特進,私,49
さくら清修高校,総合,49
今市高校,総合,48
宇都宮清陵高校,普通,48
宇都宮白楊高校,流通経,48
烏山高校,普通,48
國學院大栃木高,文理,私,48
佐野松桜高校,商業,48
栃木商業高校,商業,48
茂木高校,総合,48
宇都宮白楊高校,情報技,47
佐野松桜高校,情報制御,47
栃木商業高校,情報処理,47
宇都宮白楊高校,農業経,46
宇都宮白楊高校,生物工,46
宇都宮白楊高校,食品科,46
宇都宮白楊高校,農業工,46
宇都宮白楊高校,服飾デ,46
宇都宮文星女子,美デ,私,46
宇都宮短大附属高,音,私,46
宇都宮短大附高校,生,私,46
黒磯南高校,総合,46
壬生高校,普通,46
足利工業大附高,フロ,私,45
足利清風高校,普通,45
宇都宮短大附高校,応,私,45
高根沢高校,商業,45
栃木工業高校,機械,45
栃木工業高校,電気,45
栃木工業高校,電子,45
栃木工業高校,情報技術,45
那須清峰高校,商業,45
那須清峰高校,機械,44
那須清峰高校,電子機械,44
那須清峰高校,建設工学,44
那須清峰高校,電気,44
那須清峰高校,情報技術,44
那須拓陽高校,農業経営,45
那須拓陽高校,生物工学,45
那須拓陽高校,食品化学,45
那須拓陽高校,食物文化,45
白鴎大足利高,文理進,私,45
宇都宮短大附高校,調,私,44
小山城南高校,総合,44
上三川高校,普通,44
益子芳星高校,普通,44
足利短大附高,福祉教,私,43
宇都宮文星女子高,普,私,43
宇都宮短大附属高,情,私,43
小山北桜高校,総合ビジ,43
佐野松桜高校,家政,43
矢板高校,社会福祉,43
足利工業高校,機械,42
足利工業高校,電気,42
足利工業高校,工業化学,42
足利工業高校,産業デザ,42
足利工業高校,電子機械,42
足利短大学附属高,進,私,42
足利南高校,総合,42
小山南高校,普通,42
作新学院高校,美デザ,私,42
佐野清澄高校,進学,私,42
高根沢高校,普通,42
真岡工業高校,機械,42
真岡工業高校,生産機械,42
真岡工業高校,電子,42
真岡工業高校,建設,42
矢板高校,農業経営,42
矢板高校,栄養食物,42
足利工業大附高校,工,私,41
足利工業大附高,自車,私,41
足利工業大附高,情処,私,41
足利清風高校,情報処理,41
小山北桜高校,建築シス,41
小山北桜高校,園芸科学,41
小山北桜高校,造園土木,41
小山北桜高校,生活文化,41
佐野松桜高校,社会福祉,41
作新学院高,総進部進,私,41
作新学院高校,普通,私,41
作新学院高校,商業,私,41
作新学院高,電気電子,私,41
作新学院高校,ライフ,私,41
作新学院高校,自動車,私,41
白鴎大学足利高校,普,私,41
白鴎大学足利高校,商,私,41
白鴎大学足利高校,総,私,41
文星芸術大附高校,総,私,41
文星芸術大附高,美デ,私,41
真岡北陵高校,教養福祉,41
真岡北陵高校,総合ビジ,41
足利清風高校,商業,40
鹿沼商工高校,情報科学,40
鹿沼商工高校,商業,40
矢板中央高校,普通,私,40
宇都宮文星女子高,総ビジ,私,39
佐野清澄高校,教養,私,39
佐野清澄高校,生活デザイ,私,39
佐野清澄高校,食物調理,私,39
青藍泰斗高校,普通,私,39
青藍泰斗高校,総合生活,私,39
青藍泰斗高校,総合ビジネ,私,39
鹿沼南高校,普通,39
那須高校,リゾート観光,39
真岡北陵高校,生物生産,39
真岡北陵高校,農業機械,39
真岡北陵高校,食品科学,39
矢板中央高校,スポーツ,私,38 
今市工業高校,機械,38
今市工業高校,電気,38
今市工業高校,建設工学,38
鹿沼南高校,食料生産,38
鹿沼南高校,環境緑地,38
鹿沼南高校,ライフデザイ,38
栃木農業高校,農業,38
栃木農業高校,生物工学,38
栃木農業高校,農業土木,38
栃木農業高校,食品化学,38
栃木農業高校,生活科学,38
那須高校,普通,38
馬頭高校,普通,38
馬頭高校,水産,38
矢板高校,機械,38
矢板高校,電子,38
