藤島高校,普通,70
高志高校,普通,68
高志高校,理数,66
武生高校,普通,66
武生高校,理数,65
若狭高校,文理探究,64
北陸高校,特進,私,62
金津高校,普通,61
福井工業高等,機械,60
福井工業高等,電電,60
福井工業高等,電情,60
福井工業高等,環都,60
福井工業高等,物質,60
仁愛女子高校,特進,私,59
羽水高校,普通,58
武生東高校,国際,58
福井工業大附高校,特,私,58
福井商業高校,商業,58
福井商業高校,会計,58
福井商業高校,国際経済,58
福井商業高校,情報処理,58
福井商業高校,流通経済,58
武生東高校,普通,57
仁愛女子高校,英留学,私,55
敦賀高校,普通,55
大野高校,普通,54
勝山高校,普通,54
敦賀気比高校,特進,私,53
美方高校,普通,53
若狭高校,普通,53
坂井高校,ビジネス,52
鯖江高校,普通,52
啓新高校,特別進学,私,51
北陸高校,進学,私,51
仁愛女子高校,進学,私,48
武生商業高校,商業,48
武生商業高校,情報処理,48
武生商業高校,情報ビジ,48
敦賀高校,商業,48
敦賀高校,情報経理,48
敦賀工業高校,電子機械,48
敦賀工業高校,電気,48
敦賀工業高校,情報ケミ,48
敦賀工業高校,建築シス,48
福井工業大附高,進Ⅰ,私,48
丸岡高校,普通,48
丹生高校,普通,47
三国高校,普通,47
若狭東高校,ビジネ情報,47
足羽高校,普通,46
坂井高校,工業系,46
仁愛女子高校,音楽,私,46
美方高校,生活情報,46
美方高校,食物,46
坂井高校,生活デザイン,45
仁愛女子高校,商業,私,45
敦賀気比高校,進学,私,45
科学技術高校,機械シス,44
科学技術高校,化学シス,44
科学技術高校,テキスタ,44
科学技術高校,電子電気,44
科学技術高校,情報工学,44
丹南高校,総合,44
足羽高校,国際,43
奥越明成高校,機械,43
奥越明成高校,電気,43
奥越明成高校,福祉,43
坂井高校,農業系,43
武生工業高校,都市建築,43
武生工業高校,電気,43
武生工業高校,工業化学,43
武生工業高校,電子機械,43
奥越明成高校,生活,42
武生高校池田分校,普通,42
敦賀気比高校,教養,私,42
福井農林高校,農業,42
北陸高校,普通,私,42
北陸高校,情報処理,私,42
若狭東高校,電気機械,42
若狭東高校,地域創造,42
奥越明成高校,ビジネ情,41
啓新高校,進学,私,41
啓新高校,調理,私,41
福井工業大附高,進Ⅱ,私,41
福井工業大附高,衛看,私,41
啓新高校,普通,私,40
啓新高校,ファッショ,私,40 
啓新高校,情報商業,私,39
若狭高校,海洋科学,39
福井工業大附属高校,体育,38 
福井工業大附高校,創造科,私,38 
