岐阜高校,普通,71
多治見北高校,普通,68
大垣北高校,普通,67
恵那高校,理数,66
加納高校,普通,66
岐阜北高校,普通,66
岐阜工業高等専門,機械,65
岐阜工業高等専門,電情,65
岐阜工業高等専門,電制,65
岐阜工業高等専門,環都,65
岐阜工業高等専門,建築,65
関高校,普通,65
大垣東高校,理数,64
美濃加茂高校,蛍雪,私,64
鴬谷高校,英進,私,63
岐山高校,普通,62
岐阜聖徳学園高校,特,私,62
多治見西高校,蛍雪,私,62
大垣日本大学高,アカ,私,61
岐阜東高校,蛍雪,私,61
岐山高校,理数,61
帝京大学可児高,ＳＴ,私,61
可児高校,普通,60
多治見高校,普通,60
長良高校,普通,60
岐阜第一高,カレッジ,私,59
多治見高校,自然科学,59
帝京大学可児高,特Ⅱ,私,59
斐太高校,普通,59
大垣南高校,普通,58
吉城高校,理数,58
済美高校,選抜特進,私,58
各務原西高校,普通,57
加茂高校,理数,57
中京高校,文武,私,57
中京高校,エクシード,私,57
鴬谷高校,進学,私,56
恵那高校,普通,56
岐阜女子高校,文理,私,56
岐阜聖徳学園高,進Ⅰ,私,55
郡上高校,普通,55
多治見西高校,特進,私,55
高山西高校,普通,私,55
富田高校,啓明,私,55
武義高校,普通,55
本巣松陽高校,普通,55
大垣日本大学高校,特,私,54
加納高校,美術,54
岐阜東高校,進学,私,54
岐阜商業高校,国際コミ,54
郡上高校,総合,54
済美高校,特進,私,54
聖マリア女学院,英特,私,54
聖マリア女学院高,特,私,54
大垣西高校,普通,53
大垣商業高校,総合ビジ,53
大垣商業高校,会計,53
大垣商業高校,情報,53
加茂高校,普通,53
岐阜商業高校,流通ビジ,53
岐阜商業高校,情報処理,53
岐阜商業高校,会計シス,53
富田高校,国際,私,53
益田清風高校,普通,53
各務原高校,理数,52
各務原高校,普通,52
加納高校,音楽,52
中津高校,普通,52
羽島北高校,普通,52
飛騨高山高校,普通,52
美濃加茂高校,アドバ,私,52
吉城高校,普通,52
各務原高校,英語,51
土岐商業高校,ビジネス,51
土岐商業高校,ビジネ情,51
岐阜総合学園高校,総合,50
岐阜農林高校,生物工学,50
岐阜工業高校,電子機械,50
岐阜工業高校,建設工学,50
岐阜工業高校,デザイ工,50
岐阜工業高校,電子,50
岐阜城北高校,総合,50
中京高校,プロシード,私,50
帝京大学可児高,特Ⅰ,私,50
多治見西高校,国英,私,49
麗澤瑞浪高校,普通,私,49
岐阜農林高校,動物科学,48
岐阜農林高校,食品科学,48
岐阜工業高校,電気,48
岐阜工業高校,機械,48
岐阜工業高校,化学技術,48
岐阜工業高校,設備シス,48
