灘高校,普通,私,78
神戸高校,総合理学,76
須磨学園高校,Ⅲ理数,私,73
白陵高校,普通,私,73
兵庫高校,未来創造,73
小野高校,科学総合,72
加古川東高校,理数,71
明石北高校,自然科学,70
神戸高校,普通,70
須磨学園高校,Ⅲ英数,私,70
長田高校,普通,70
西宮市立西宮高校,グロ,70
姫路西高校,普通,70
加古川東高校,普通,69
雲雀丘学園高校,選特,私,69
明石工業高等専門,機械,68
明石工業高等専門,電情,68
明石工業高等専門,都市,68
明石工業高等専門,建築,68
宝塚北高校,グローバル,68
西宮市立西宮東高,数理,68
兵庫高校,普通,68
関西学院高等部,普通,私,67
星陵高校,普通,67
滝川高校,Ⅲ進Ｓ理系,私,67
西宮市立西宮高校,普通,67
姫路東高校,普通,67
御影高校,総合人文,67
小野高校,普通,66
須磨学園高校,Ⅱ類,私,66
西宮市立西宮東高,人,社,66
姫路市立姫路高,サイエ,66
滝川第二高,スー特Ｌ,私,65
龍野高校,総合自然科学,65
加古川西高校,普通,64
北須磨高校,普通,64
神戸市立工業高等専,機,64
神戸市立工業高等専,電,64
神戸市立工業高等専,電,64
神戸市立工業高等専,応,64
神戸市立工業高等専,都,64
神戸市立葺合高校,国際,64
姫路市立姫路高校,普通,64
北摂三田高校,普通,64
御影高校,普通,64
川西緑台高校,普通,63
三田学園高校,普通,私,63
宝塚北高校,普通,63
豊岡高校,理数,63
仁川学院高校,特進Ｓ,私,63
雲雀丘学園高校,特進,私,63
報徳学園高校,選特選,私,63
尼崎稲園高校,普通,62
国際高校,国際,62
滝川高校,Ⅱ進Ｓ文系,私,62
津名高校,総合科学,62
東洋大附姫路高,ス特,私,62
姫路飾西高校,自然科学,62
武庫川女子大附,サイ,私,62
八鹿高校,自然科学,62
夢野台高校,普通,62
伊川谷北高校,普通,61
三田祥雲館高校,普通,61
須磨学園高校,Ⅰ類,私,61
龍野高校,普通,61
仁川学院高校,特進Ｉ,私,61
姫路飾西高校,普通,61
武庫川女子大附,イン,私,61
相生高校,自然科学,60
明石城西高校,グローバ,60
明石西高校,国際人間,60
神戸市立葺合高校,普通,60
滝川第二高,特別特Ｌ,私,60
西宮市立西宮東高校,普,60
尼崎小田高校,サイエン,59
淡路三原高校,サイエン,59
柏原高校,知の探求,59
啓明学院高校,普通,私,59
神戸学院大附,特理数,私,59
篠山鳳鳴高校,総合科学,59
姫路南高校,普通,59
姫路飾西高校,グローバ,59
兵庫県立大附高校,総科,59
芦屋高校,普通,58
小野高校,国際経済,58
