東大寺学園高校,普通,私,77
西大和学園高,特編入,私,76
帝塚山高校,男子英数,私,73
帝塚山高校,女子英数,私,73
奈良高校,普通,72
西大和学園高校,国際,私,71
奈良学園高校,理数,私,71
帝塚山高校,女特進Ⅱ,私,70
畝傍高校,普通,69
郡山高校,普通,68
奈良工業高等専門,機械,67
奈良工業高等専門,電気,67
奈良工業高等専門,電制,67
奈良工業高等専門,情報,67
奈良工業高等専門,物科,67
帝塚山高校,女特進Ⅰ,私,66
育英西高校,立命館,私,65
智辯学園高校,編入,私,65
平城高校,教育,65
一条高校,数理科学,64
一条高校,外国語,63
高田高校,普通,63
高田高校,教育,62
奈良北高校,理数,62
平城高校,教育,62
天理高校,Ⅱ類,私,61
奈良北高校,普通,61
一条高校,人文科学,60
奈良育英高校,選抜,私,60
一条高校,普通,58
育英西高校,特設,私,58
橿原高校,普通,私,58
桜井高校,英語,58
生駒高校,普通,57
登美ヶ丘高校,普通,57
桜井高校,普通,55
奈良育英高,高大連携,私,55
奈良大附属高校,特進,私,54
西の京高校,地域創生,53
西の京高校,普通,53
桜井高校,書芸,52
天理高校,Ⅰ類,私,52
橿原学院高校,特進,私,51
高円高校,美術,51
高田商業高校,商業,51
奈良育英高校,総進学,私,51
関西中央高校,特進,私,50
高円高校,デザイン,50
香芝高校,普通,49
青翔高校,スーパーサイ,49
奈良大附属高校,文理,私,49
法隆寺国際高校,歴文化,49
五條高校,のぞみの丘,48
高取国際高校,国際英語,48
高取国際高校,普通,48
法隆寺国際高,国際英語,48
法隆寺国際高校,普通,48
高円高校,普通,47
高円高校,音楽,47
高取国際高校,国際コミ,47
五條高校,まなびの森,46
青翔高校,理数,46
奈良朱雀高校,観光ビジ,46
奈良朱雀高校,情報ビジ,46
奈良朱雀高校,総合ビジ,46
法隆寺国際高,国際教養,46
五條高校,普通,45
奈良情報商業高,総情報,45
奈良情報商業高,国際流,45
奈良情報商業高,会計ビ,45
奈良情報商業高,情報ビ,45
王寺工業高校,電子機械,44
王寺工業高校,総合電気,44
王寺工業高校,情報電子,44
橿原学院高校,標準,私,44
奈良大附属高校,標準,私,44
奈良文化高校,衛看護,私,44
奈良文化高校,Ⅱ特進,私,44
榛生昇陽高校,福祉,43
磯城野高校,フードデザ,43
磯城野高校,ヒューマン,43
磯城野高校,ライフデザ,43
奈良女子高校,センタ,私,43
奈良朱雀高校,機械,43
奈良朱雀高校,情報,43
奈良朱雀高校,建築,43
橿原学院高校,美術,私,42
西和清陵高校,普通,41
榛生昇陽高校,人間探求,41
御所実業高校,機械,40
御所実業高校,都市,40
御所実業高校,薬品,40
御所実業高校,電気,40
添上高校,スポーツ,40
二階堂高校,国際理解,40
山辺高校,学びの開拓,40
大和広陵高校,生涯スポ,40
奈良女子高校,エレメンタ,私,39
奈良女子高校,スポーツ,私,39
大淀高校,文理・ビジネス,39
大淀高校,看護・医療,39
磯城野高校,バイオ技術,39
磯城野高校,生産科学,39
磯城野高校,環境デザイン,39
添上高校,普通,39
二階堂高校,普通,39
山辺高校,生活文化,39
山辺高校,生物科学,39
榛生昇陽高校,総合選択,39
関西中央高校,スタンダー,私,38
関西中央高校,表現・情報,私,38
天理高校,Ⅲ類,私,38
奈良女子高,イラストデザ,私,38
奈良女子高校,保育,私,38
奈良女子高校,パティシエ,私,38
奈良文化高校,スポーツ特,私,38
大宇陀高校,ライフクリエ,37
御所実業高校,環境緑地,37
十津川高校,工芸,37
大和広陵高校,普通,37
奈良女子高校,文化みらい,私,37
奈良文化高校,Ⅰ類,私,37
大宇陀高校,普通,36
十津川高校,普通,36
吉野高校,土木,36
吉野高校,建築,36
吉野高校,森林科学,36  
