岡山白陵高校,普通,私,71
就実高校,特進ハイ,私,70
明誠学院高校,特進Ⅲ,私,69
岡山朝日高校,普通,67
岡山学芸館高校,医進,私,65
岡山高校,東大国立医,私,65
岡山操山高校,普通,65
岡山城東高校,普通,64
岡山芳泉高校,普通,64
倉敷青陵高校,普通,63
岡山一宮高校,理数,61
岡山一宮高校,普通,61
川崎医科大附高校,普,私,61
岡山学芸館高校,スＶ,私,60
岡山高校,難関大,私,60
関西高校,国立進学,私,60
倉敷南高校,普通,60
津山高校,普通,60
津山高校,理数,60
笠岡高校,普通,59
山陽女子高校,スー特,私,59
清心女子高校,生命科,私,59
津山工業高等専門,機械,59
津山工業高等専門,電電,59
津山工業高等専門,電制,59
津山工業高等専門,情報,59
就実高校,特進アド,私,58
倉敷天城高校,理数,57
倉敷天城高校,普通,57
金光学園高校,普通,57
作陽高校,スーパー特,私,57
清心女子高校,文理選,私,57
岡山龍谷高校,特進,私,56
岡山理科大附高校,特,私,55
岡山城東高校,音楽,55
倉敷中央高校,看護,55
倉敷古城池高校,普通,55
瀬戸高校,普通,55
清心女子高,文理プロ,私,55
明誠学院高校,特進Ⅱ,私,55
岡山南高校,商業,54
岡山南高校,国際経済,54
岡山南高校,情報処理,54
西大寺高校,普通,54
西大寺高校,国際情報,54
岡山南高校,生活創造,53
岡山南高校,服飾デザイ,53
興譲館高校,特別進学,私,53
創志学園高校,特進Ⅰ,私,53
玉野光南高校,普通,53
美作高校,特進,私,53
作陽高校,特進,私,52
西大寺高校,商業,52
山陽女子高校,エクセ,私,52
就実高校,特チャレン,私,52
津山東高校,普通,52
岡山学芸館高校,特進,私,51
岡山学芸館高校,英語,私,51
岡山工業高校,機械,51
岡山工業高校,土木,51
岡山工業高校,化学工学,51
岡山工業高校,デザイン,51
岡山工業高校,建築,51
岡山工業高校,情報技術,51
岡山工業高校,電気,51
倉敷高校,特別進学,私,51
総社南高校,普通,51
総社南高校,美術工芸,51
玉島高校,理数,51
玉島高校,普通,51
玉野光南高校,情報,51
明誠学院高校,特進Ⅰ,私,51
井原高校,普通,50
岡山理科大附,進理大,私,50
関西高校,特進,私,50
清心女子高校,文理進,私,50
創志学園高校,特進Ⅱ,私,50
総社高校,普通,50
高梁高校,普通,50
新見高校,普通,50
岡山龍谷高,進教養Ⅱ,私,49
津山東高校,看護,49
笠岡商業高校,商業,48
笠岡商業高校,情報処理,48
勝山高校,普通,48
倉敷商業高校,商業,48
倉敷商業高校,情報処理,48
倉敷商業高校,国際経済,48
岡山東商業高校,ビジ創,47
岡山東商業高校,情ビジ,47
倉敷翠松高校,特別進,私,47
倉敷中央高校,普通,47
倉敷中央高校,こども,47
総社高校,家政,47
関西高校,総合進学,私,46
倉敷中央高校,家政,46
倉敷中央高校,健康スポ,46
興陽高校,家政,46
興陽高校,被服,46
就実高校,総合進学,私,46
玉野高校,普通,46
津山東高校,食物調理,46
岡山商科大附高校,特,私,45
