土佐高校,普通,私,67
土佐塾高校,普通,私,67
高知追手前高校,普通,63
高知学芸高校,普通,私,63
高知西高校,英語,58
高知小津高校,理数,58
土佐女子高校,普通,私,58
高知工業高等専門,機械,57
高知工業高等専門,電情,57
高知工業高等専門,物質,57
高知工業高等専門,環都,57
高知小津高校,普通,55
高知西高校,普通,54
中村高校,普通,54
高知東高校,看護,52
明徳義塾高校,特進,私,49
明徳義塾高校,英語,私,49
明徳義塾高校,中国語,私,49
高知高校,普通,私,48
高知丸の内高校,普通,47
高知南高校,国際,47
高知商業高校,総合ビジ,46
高知商業高校,情報シス,46
高知商業高校,国際コミ,46
安芸高校,総合,45
岡豊高校,普通,45
高知南高校,普通,45
高知中央高校,看護,私,44
高知工業高校,機械,44
高知工業高校,電気,44
高知工業高校,情報技術,44
高知工業高校,工業化学,44
高知工業高校,土木,44
高知工業高校,建築,44
高知工業高校,総合デザ,44
清和女子高校,普通,私,43
高知東高校,総合,42
宿毛高校,総合,42
明徳義塾高校,総合,私,42
高知丸の内高校,音楽,41
春野高校,総合,41
高知東工業高校,機械,40
高知東工業高校,機械生,40
高知東工業高校,電子,40
高知東工業高校,電子機,40
高知東工業高校,理工,40
須崎高校,総合,40
伊野商業高校,メディアク,39
伊野商業高校,国際観光,39
伊野商業高校,情報デザイ,39
伊野商業高校,ビジネス会,39
伊野商業高校,情報処理,39
岡豊高校,芸術,39
岡豊高校,体育,39
高知農業高校,農業総合,39
高知農業高校,畜産総合,39
高知農業高校,森林総合,39
高知農業高校,環境土木,39
高知農業高校,食品ビジネ,39
高知農業高校,生活総合,39
幡多農業高校,園芸システ,38
幡多農業高校,アグリサイ,38
幡多農業高校,グリーン環,38
幡多農業高校,生活コーデ,38
山田高校,商業,38
高知中央高校,普通,私,38
安芸桜ケ丘高校,環境建設,37
安芸桜ケ丘高校,環境エネ,37
安芸桜ケ丘高校,情報ビジ,37
佐川高校,普通,37
四万十高校,普通,37
四万十高校,自然環境,37
須崎工業高校,機械,37
須崎工業高校,造船,37
須崎工業高校,電気情報,37
須崎工業高校,ユニバーサ,37
宿毛工業高校,機械,37
宿毛工業高校,建設,37
宿毛工業高校,電気,37
宿毛工業高校,情報技術,37
山田高校,普通,37
窪川高校,普通,36
高知追手前高吾北分校,普,36
高知海洋高校,海洋,36
城山高校,普通,36
清水高校,普通,36
高岡高校,普通,36
中芸高校,普通,36
中村高校西土佐分校,普通,36
室戸高校,総合,36
梼原高校,普通,36
嶺北高校,普通,36  
