佐賀西高校,普通,68
弘学館高校,普通,私,67
早稲田佐賀高校,普通,私,67
唐津東高校,普通,64
致遠館高校,理数,63
佐賀清和高校,Ｓ特進,私,62
東明館高校,普通,私,62
龍谷高校,特進,私,61
佐賀北高校,普通,60
致遠館高校,普通,60
小城高校,普通,58
武雄高校,普通,57
鹿島高校,普通,56
佐賀清和高校,Ａ特進,私,56
鳥栖高校,普通,56
佐賀商業高校,商業,54
佐賀商業高校,情報処理,54
佐賀商業高校,国際経済,54
三養基高校,普通,54
佐賀学園成穎高等,特,私,53
佐賀清和高校,探究Ⅰ,私,53
龍谷高校,文理進学,私,52
伊万里高校,普通,51
白石高校,普通,51
佐賀北高校,芸術,50
唐津西高校,普通,49
唐津商業高校,商業,48
唐津商業高校,会計,48
敬徳高校,総合進学,私,48
佐賀清和高校,探究Ⅱ,私,48
神埼高校,普通,47
佐賀工業高校,機械,47
佐賀工業高校,電気,47
佐賀工業高校,電子情報,47
佐賀工業高校,建築,47
佐賀女子高校,衛看護,私,47
有田工業高校,セラミッ,46
有田工業高校,デザイン,46
有田工業高校,電気,46
有田工業高校,機械,46
鹿島実業高校,商業,46
鹿島実業高校,情報処理,46
佐賀女子高校,進学,私,46
伊万里商業高校,商業,45
伊万里商業高校,情処理,45
牛津高校,生活経営,45
牛津高校,服飾デザイン,45
牛津高校,食品調理,45
佐賀東高校,普通,45
多久高校,総合,45
鳥栖商業高校,商業,45
鳥栖商業高校,流通経済,45
鳥栖商業高校,情報管理,45
龍谷高校,総合,私,45
唐津南高校,生産技術,44
唐津南高校,食品流通,44
唐津南高校,生活教養,44
杵島商業高校,商業,44
杵島商業高校,情報処理,44
唐津工業高校,機械,43
唐津工業高校,電気,43
唐津工業高校,建築,43
唐津工業高校,土木,43
神埼清明高校,総合,43
佐賀農業高校,生産科学,43
佐賀農業高校,食品産業,43
佐賀農業高校,農業土木,43
佐賀農業高校,生活文化,43
嬉野高校,総合,42
鹿島実業高校,食品調理,42
鳥栖工業高校,機械,42
鳥栖工業高校,電気,42
鳥栖工業高校,電子機械,42
鳥栖工業高校,土木,42
鳥栖工業高校,建築,42
高志館高校,園芸工学,41
高志館高校,緑地土木,41
高志館高校,食品流通,41
佐賀清和高校,普通,私,41
佐賀清和高校,情ビジ,私,41
太良高校,普通,41
伊万里農林高校,森林工,40
伊万里農林高校,食品化,40
伊万里農林高校,生物生,40
佐賀学園高校,商業,私,40
佐賀女子高校,商業,私,40
佐賀女子高,くらしデ,私,40
佐賀女子高校,食物,私,40
佐賀女子高校,音楽,私,40
佐賀女子高校,保福祉,私,40
塩田工業高校,機械,40
塩田工業高校,情報技術,40
塩田工業高校,電気,40
塩田工業高校,建築,40
佐賀学園高校,普通,私,39
佐賀学園高校,情報処理,私,39
厳木高校,普通,39
唐津青翔高校,総合,38 
敬徳高校,普通,38
敬徳高校,自動車整備,38
北陵高校,電子,38
北陵高校,電気,38
北陵高校,建築,38
北陵高校,土木,38
北陵高校,自動車,38
北陵高校,航空,38
北陵高校,生活文化,38 
