熊本高校,普通,73
済々黌高校,普通,71
真和高校,普通,私,68
第二高校,理数,68
第二高校,普通,68
熊本学園大付高校,普,私,65
熊本高等専門熊本,情通,65
熊本高等専門熊本,電子,65
熊本高等専門熊本,電制,65
熊本高等専門熊本,情報,65
熊本北高校,普通,63
熊本マリスト学園,普,私,62
熊本北高校,理数,61
第一高校,英語,61
第一高校,普通,61
熊本高等専門八代,機電,60
熊本高等専門八代,情電,60
熊本高等専門八代,土建,60
熊本高等専門八代,生物,60
九州学院高校,特進,私,59
熊本北高校,英語,59
玉名高校,普通,59
東稜高校,普通,59
文徳高校,東大医進,私,59
第二高校,美術,58
東稜高校,国際,58
東稜高校,理数,58
八代高校,普通,57
宇土高校,普通,56
九州学院高校,普通,私,56
熊本工業高校,電気,56
熊本工業高校,情報シス,56
熊本工業高校,機械,56
熊本工業高校,電子,56
熊本商業高校,商業,56
熊本商業高校,情報処理,56
熊本商業高校,国際経済,56
熊本商業高校,会計,56
必由館高校,普通,56
必由館高校,国際,56
ルーテル学院,理数特,私,56
熊本信愛女学院,特進,私,55
東海大付熊本星翔,特,私,55
ルーテル学院高,英特,私,54
ルーテル学院高校,綜,私,54
鹿本高校,普通,53
必由館高校,服飾,53
必由館高校,芸術,53
文徳高校,理工進特,私,53
熊本西高校,普通,52
熊本工業高校,土木,52
人吉高校,普通,52
天草高校,普通,51
大津高校,理数,51
大津高校,普通,51
熊本西高校,理数,51
熊本工業高校,建築,51
熊本工業高校,材料技術,51
熊本工業高校,インテリ,51
慶誠高校,特進,私,51
専修大玉名高,文理選,私,51
千原台高校,情報,51
ルーテル学院高校,芸,私,51
鹿本高校,体育,50
熊本工業高校,繊維工業,50
熊本工業高校,工業化学,50
鎮西高校,特進,私,50
熊本農業高校,生活,49
文徳高校,特進,私,49
有明高校,看護,私,48
文徳高校,普通,私,48
大津高校,体育,47
大津高校,美術,47
熊本西高校,体育,47
熊本信愛女学院,情ビ,私,47
熊本農業高校,食品工業,47
尚絅高校,普通,私,47
千原台高校,健康スポ,47
阿蘇中央高校,普通,46
熊本中央高校,看護,私,46
熊本農業高校,農業土木,46
八代清流高校,普通,46
湧心館高校,情報処理,46
熊本信愛女学院高,普,私,45
熊本農業高校,園芸果樹,45
熊本農業高校,農業経済,45
翔陽高校,総合,45
玉名工業高校,機械,45
玉名工業高校,電気,45
玉名工業高校,電子,45
玉名工業高校,工業化学,45
玉名工業高校,土木,45
東海大付熊本星翔,総,私,45
八代工業高校,インテリ,45
八代工業高校,機械,45
八代工業高校,工業化学,45
八代工業高校,電気,45
八代工業高校,情報技術,45
苓明高校,普通,45
有明高校,福祉,私,44
荒尾高校,普通,44
荒尾高校,体育,44
小川工業高校,機械,44
小川工業高校,建築,44
小川工業高校,土木,44
小川工業高校,設備工,44
小川工業高校,情電子,44
熊本国府高校,普通,私,44
熊本国府高校,ビジ,私,44
熊本農業高校,農業,44
水俣高校,普通,44
八代東高校,商業,44
八代東高校,情報会計,44
慶誠高校,進学,私,43
秀岳館高校,普通,私,43
秀岳館高校,商業,私,43
秀岳館高校,建設工,私,43
八代東高校,体育,43
天草工業高校,機械,42
天草工業高校,電気,42
天草工業高校,土木,42
天草工業高校,情報技,42
牛深高校,普通,42
河浦高校,普通,42
菊池高校,普通,42
熊本農業高校,畜産,42
玉名女子高校,看護,私,42
玉名女子高校,普通,私,42
玉名女子高校,情報ビ,私,42
玉名女子高校,食物,私,42
鎮西高校,公務員,私,42
鎮西高校,ダンス,私,42
文徳高校,理工専門,私,42
北稜高校,人文,42
御船高校,普通,42
御船高校,芸術,42
八代白百合学園高,普,私,42
矢部高校,普通,42
湧心館高校,普通,42
苓明高校,商業,42
菊池高校,商業,41
熊本中央高校,総ビジ,私,41
熊本中央高校,普通,私,41
球磨商業高校,総ビジネ,41
球磨商業高校,情報処理,41
球磨商業高校,国際教養,41
鎮西高校,標準,私,41
鎮西高校,商業,私,41
松橋高校,普通,41
松橋高校,情報処理,41
松橋高校,体育,41
御船高校,電子機械,41
有明高校,普通,私,40
有明高校,電気情報,40
有明高校,生産工業,私,40
鹿本商工高校,商業,40
鹿本商工高校,機械,40
鹿本商工高校,電子機械,40
鹿本商工高校,情報管理,40
鹿本商工高校,電気,40
城北高校,普通,私,40
城北高校,生活総合,私,40
城北高校,商業,私,40
城北高校,社会福祉,私,40
南稜高校,総合,40
北稜高校,ビジネスマネ,40
北稜高校,情報処理,40
阿蘇中央高校,総合ビジネ,39
松橋高校,家政,39
上天草高校,情報会計,38
上天草高校,福祉,38
菊池農業高校,農業,38
菊池農業高校,園芸,38
菊池農業高校,畜産科学,38
菊池農業高校,食品化学,38
菊池農業高校,生活文化,38
球磨工業高校,機械,38
球磨工業高校,電気,38
球磨工業高校,建築,38
球磨工業高校,建設工学,38
甲佐高校,ビジネス情報,38
北稜高校,園芸科学,38
北稜高校,造園,38
北稜高校,家政,38
苓明高校,園芸科学,38
苓明高校,食品科学,38
苓明高校,生活情報,38
菊池女子高校,普通,私,38
菊池女子高校,家庭,,私,38
菊池女子高校,社会福祉,,私,38
慶誠高校,食物,,私,38
慶誠高校,教養,,私,38
開新高校,普通,,私,37
開新高校,総合,私,37
開新高校,工業,私,37
専修大玉名高校,スタンダ,私,37
専修大玉名高校,総合ビジ,私,37
専修大玉名高校,情報メデ,私,37
鎮西高校,体育,私,37 
阿蘇中央高校,農業食品,37
阿蘇中央高校,グリーン環,37
芦北高校,農業,37
芦北高校,林業,37
芦北高校,福祉,37
天草倉岳校,普通,37
鹿本農業高校,施設園芸,37
鹿本農業高校,食品工業,37
鹿本農業高校,バイオ工学,37
鹿本農業高校,生活科学,37
上天草高校,普通,37
甲佐高校,普通,37
甲佐高校,福祉教養,37
人吉高校五木分校,普通,37
水俣高校,商業,37
水俣高校,機械,37
水俣高校,電気建築,37
矢部高校,食農科学,37
矢部高校,緑科学,37
牛深高校,文科,36
小国高校,普通,36
高森高校,普通,36
多良木高校,普通,36
多良木高校,体育,36
多良木高校,福祉教養,36
南関高校,情報,36
南関高校,ヒューマン,36
南関高校,美術工芸,36
南関高校,スポーツ,36
南稜高校,生産科学,36
南稜高校,園芸科学,36
南稜高校,環境工学,36
南稜高校,食品科学,36
南稜高校,生活経営,36
八代農業高校,園芸科学,36
八代農業高校,食品科学,36
八代農業高校,農業工学,36
八代農業高校,福祉家庭,36
八代農業高校泉分校,グリ,36
苓洋高校,総合,36
苓洋高校,海洋,36
苓洋高校,栽培,36
苓洋高校,水産食品,36
河浦高校,園芸科学,35
