ラ・サール高校,普通,私,76
樟南高校,文理,私,72
鶴丸高校,普通,72
鹿児島実業高校,文理,私,70
甲南高校,普通,70
志學館高校,普通,私,68
尚志館高校,特進,私,68
鹿児島中央高校,普通,67
池田高校,普通,私,66
鹿児島純心女,医歯薬,私,66
鹿児島工業高等専門,機,65
鹿児島工業高等専門,電,65
鹿児島工業高等専門,電,65
鹿児島工業高等専門,情,65
鹿児島工業高等専門,都,65
鹿児島高校,英数,私,63
鹿児島玉龍高校,普通,63
出水中央高校,特進,私,62
武岡台高校,普通,62
樟南高校,英数,私,61
武岡台高校,情報科学,61
加治木高校,普通,60
鹿屋中央高校,文理,私,60
錦江湾高校,理数,60
国分高校,理数,60
鹿児島南高校,情報処,59
鹿児島純心女子,選抜,私,59
鹿児島純心女子,選英,私,59
鹿児島南高校,普通,58
鳳凰高校,文理,私,58
鹿児島修学館高校,普,私,57
鹿屋高校,普通,57
松陽高校,普通,57
れいめい高校,文理,私,57
大口明光学園高,進Ⅱ,私,56
鹿児島南高校,商業,56
鹿児島情報高,e-プレ,私,56
鹿児島第一高校,普,私,56
加世田高校,普通,56
鹿児島育英館高校,普,私,55
鹿児島女子高校,情会計,55
松陽高校,音楽,55
松陽高校,美術,55
伊集院高校,普通,54
鹿児島純心女子,文理,私,54
鹿児島工業高校,工Ⅰ類,54
鹿児島工業高校,工Ⅱ類,54
国分高校,普通,54
川内高校,普通,54
鹿児島女子高校,商業,53
錦江湾高校,普通,53
出水高校,普通,52
指宿高校,普通,52
鹿児島女子高校,生活科,52
神村学園高等部,文理,私,51
志布志高校,普通,51
鹿児島純心女子高,フ,私,50
川辺高校,普通,50
尚志館高校,普通,私,50
尚志館高校,看護,私,50
大口明光学園高,進Ⅰ,私,49
鹿屋女子高校,普通,私,49
鹿屋中央高校,進学,私,49
鹿児島南高校,体育,48
鹿児島実業高校,普,私,48
明桜館高校,文理科学,48
出水商業高校,情報処理,47
大口高校,普通,47
鹿児島商業高校,情処,私,47
鹿児島商業高校,国経,私,47
鹿児島商業高校,商業,私,47
開陽高校,普通,47
加治木工業高校,工業化,47
加治木工業高校,機械,47
加治木工業高校,土木,47
加治木工業高校,電気,47
加治木工業高校,建築,47
加治木工業高校,電子,47
串良商業高校,情処理,47
尚志館高校,医福祉,私,47
曽於高校,文理,47
出水中央高校,教養,私,46
大島高校,普通,46
鹿屋工業高校,機械,46
鹿屋工業高校,電気,46
鹿屋工業高校,電子,46
鹿屋工業高校,建築,46
鹿屋工業高校,土木,46
川内商工高校,商業,46
野田女子高校,衛看護,46
出水中央高校,看護,私,45
指宿商業高校,商業,45
開陽高校,福祉,45
明桜館高校,商業,45
神村学園高等部,看護,私,44
国分中央高校,ビジ情報,44
樟南第二高校,普通,私,44
川内商工高校,機械,44
川内商工高校,電気,44
川内商工高校,インテ,44
種子島高校,普通,44
鹿児島東高校,普通,43
